OBJECTNUMMER;Energielabel;COORDS;LNG;LAT;
3690;"C";"POLYGON((4.963683 52.322499,4.963594 52.322468,4.963566 52.3225,4.963485 52.322473,4.963377 52.322589,4.963547 52.322647,4.963683 52.322499))";"4,96353";"52,3225575";
3691;"D";"POLYGON((4.933134 52.392283,4.933031 52.392276,4.932978 52.39256,4.933082 52.392566,4.933134 52.392283))";"4,933056";"52,392422";
3692;"C";"POLYGON((4.818642 52.347213,4.818464 52.347211,4.818459 52.347378,4.818636 52.34738,4.818642 52.347213))";"4,8185505";"52,347296";
3693;"E";"POLYGON((4.926067 52.393609,4.925964 52.393601,4.92591 52.393887,4.926013 52.393894,4.926067 52.393609))";"4,9259885";"52,393747";
3694;"D";"POLYGON((4.91544 52.398486,4.914996 52.398404,4.914966 52.398467,4.915412 52.398545,4.91544 52.398486))";"4,915203";"52,3984735";
3695;"D";"POLYGON((4.928654 52.39236,4.928588 52.392309,4.928228 52.392484,4.928293 52.392534,4.928654 52.39236))";"4,928441";"52,3924195";
3696;"C";"POLYGON((4.896833 52.420101,4.896415 52.420002,4.896376 52.420064,4.896794 52.420163,4.896833 52.420101))";"4,8966045";"52,420082";
3697;"G";"POLYGON((4.843494 52.383524,4.843262 52.383518,4.843257 52.383595,4.843362 52.383663,4.843487 52.383666,4.843494 52.383524))";"4,8433755";"52,3835925";
3698;"F";"POLYGON((4.880285 52.416533,4.88002 52.416325,4.879934 52.416365,4.880193 52.416577,4.880285 52.416533))";"4,8801095";"52,4164505";
3699;"D";"POLYGON((4.904385 52.418848,4.904349 52.418773,4.903986 52.41884,4.904022 52.418914,4.904385 52.418848))";"4,9041855";"52,4188445";
3700;"D";"POLYGON((4.928832 52.393193,4.928605 52.392953,4.928512 52.392986,4.92874 52.393226,4.928832 52.393193))";"4,928672";"52,3930895";
3701;"C";"POLYGON((4.968367 52.322592,4.968278 52.322561,4.96825 52.322592,4.968169 52.322565,4.968063 52.322681,4.968231 52.322739,4.968367 52.322592))";"4,968215";"52,322649";
3702;"C";"POLYGON((4.986988 52.292397,4.986922 52.292395,4.986938 52.292225,4.986806 52.292221,4.986787 52.292426,4.986985 52.292433,4.986988 52.292397))";"4,9868875";"52,292328";
3703;"B";"POLYGON((4.817332 52.344153,4.817177 52.344104,4.817039 52.344248,4.8172 52.344299,4.817332 52.344153))";"4,8171855";"52,344202";
3704;"B";"POLYGON((4.832082 52.356447,4.832083 52.356387,4.831671 52.35638,4.831668 52.356451,4.832081 52.356457,4.832082 52.356447))";"4,8318755";"52,3564185";
3705;"F";"POLYGON((4.912175 52.389864,4.912045 52.38983,4.911914 52.390021,4.912044 52.390055,4.912175 52.389864))";"4,9120445";"52,3899445";
3706;"D";"POLYGON((4.928026 52.392445,4.927737 52.392221,4.927656 52.39226,4.927946 52.392485,4.928026 52.392445))";"4,927841";"52,3923535";
3707;"C";"POLYGON((4.894238 52.422065,4.894221 52.422018,4.894135 52.421982,4.894035 52.421999,4.893993 52.422039,4.894015 52.422101,4.894079 52.42213,4.894182 52.422119,4.894238 52.422065))";"4,8941155";"52,4220565";
3708;"A";"POLYGON((4.901495 52.40924,4.901333 52.409164,4.901191 52.409278,4.901346 52.409351,4.901495 52.40924))";"4,901343";"52,4092575";
3709;"G";"POLYGON((4.909837 52.387828,4.90978 52.387747,4.909472 52.387828,4.909527 52.387908,4.909837 52.387828))";"4,9096545";"52,387829";
3710;"C";"POLYGON((4.893419 52.421855,4.893402 52.421808,4.893316 52.421772,4.893215 52.421789,4.893174 52.421829,4.893182 52.421878,4.89326 52.421919,4.893363 52.421909,4.893419 52.421855))";"4,8932965";"52,4218465";
