LNG;LAT;ENERGY_PERFORMANCE
4.9426745;52.322794;3.213
4.958568;52.393175;4.946
4.910997;52.4041005;5.91
4.9392165;52.37335;3.205
4.920806;52.408453;3.525
4.803032;52.3621695;5.869
4.938519;52.402269;4.335
4.7942635;52.3585125;5.796
4.83301;52.3882655;5.096
4.9296195;52.364965;4.395
4.8657905;52.3751505;1.456
4.966605;52.298544;4.174
4.795718;52.3588065;5.987
4.931794;52.3535385;2.829
4.802421;52.3633005;4.34
4.937386;52.3952195;6.505
4.908576;52.3859365;3.683
4.8595915;52.380226;5.644
4.8462875;52.3812925;6.145
4.9569865;52.3095835;5.012
4.815001;52.346828;2.667
4.8292795;52.372486;6.77
4.837827;52.3554435;5.631
4.8063535;52.364126;3.204
4.8304685;52.3716125;6.037
4.9141675;52.3895435;6.056
4.8054795;52.3456765;2.74
4.967428;52.2976535;5.358
4.913615;52.38995;6.848
4.928909;52.3694785;2.214
4.9092375;52.40382;7.942
4.9592645;52.3099135;5.174
4.98263;52.2937375;3.143
4.8019175;52.3642315;6.943
4.8181905;52.377533;4.509
4.9733555;52.3216555;4.408
4.858145;52.32279;1.745
4.9393445;52.4029505;4.913
4.8698535;52.3315465;5.973
4.88896;52.3850595;2.816
4.871321;52.3315465;5.798
4.803909;52.3486045;2.392
4.803855;52.3453465;2.374
4.8727865;52.3315485;4.45
4.796684;52.3561575;3.435
4.8742535;52.3315505;4.778
4.8035795;52.3568005;6.144
4.839736;52.385559;4.999
4.897748;52.4059085;2.777
4.907282;52.3606625;4.145
4.949152;52.3676985;1.151
4.898731;52.4057445;2.554
4.8351085;52.391039;4.709
4.820185;52.345955;2.815
4.913833;52.39525;5.056
4.943149;52.322956;3.126
4.808401;52.3560735;3.593
4.820818;52.388132;4.527
4.8049505;52.3626235;7.854
4.795212;52.355856;3.86
4.7961995;52.3515835;1.256
4.842878;52.376507;3.278
4.911996;52.360302;3.167
4.889663;52.3851815;2.569
4.947083;52.3953955;3.961
4.985962;52.298798;4.996
4.948575;52.3949505;3.745
4.985995;52.30043;3.734
4.933166;52.401077;1.817
4.9438205;52.340786;6.436
4.882743;52.4200095;2.815
4.903821;52.3715955;3.88
4.7965095;52.354967;3.981
4.86509;52.325634;3.985
4.879991;52.331085;4.06
4.9517275;52.394026;4.5
4.947983;52.401621;5.498
4.9761785;52.2971155;3.73
4.815042;52.3446715;2.163
4.7990615;52.3830205;4.744
4.9094855;52.3700425;7.727
4.8002915;52.383043;4.132
4.9502355;52.39447;4.655
4.844074;52.3732565;4.092
4.9125055;52.3561495;4.616
4.7996035;52.3613625;5.893
4.8868985;52.331566;4.821
4.885433;52.331562;4.377
4.8772;52.334648;5.168
4.956608;52.3128185;4.583
4.8052445;52.3571355;6.484
4.818727;52.377947;5.239
4.9661975;52.316191;3.512
4.8705925;52.374895;3.109
4.9314795;52.3577995;1.013
4.9300465;52.397619;3.677
4.8589195;52.3239865;4.87
4.866374;52.327013;3.611
4.98606;52.2939225;3.207
4.8588965;52.3270415;5.059
4.8920595;52.408476;3.244
4.8343715;52.395254;2.752
4.9624035;52.3915465;4.162
4.794771;52.3513015;1.65
4.926163;52.3441735;5.938
4.961558;52.3928505;4.807
4.8834215;52.330185;4.171
4.8009585;52.361637;5.76
4.885198;52.3866025;3.593
4.914855;52.395151;4.699
4.8589025;52.3262805;4.121
4.851229;52.357546;7.783
4.9803245;52.299255;3.875
4.915082;52.385452;4.211
4.913445;52.3952385;5.001
5.0111155;52.3492295;1.634
4.872944;52.391447;4.106
4.7953645;52.383171;4.849
4.8397305;52.3653985;2.905
4.7965935;52.383192;4.609
4.7978245;52.383213;4.574
4.9493145;52.393343;4.193
4.929533;52.3704245;1.005
4.9139615;52.362082;3
4.946167;52.394268;4.567
4.9384005;52.367046;3.066
4.8300635;52.362339;5.203
4.798765;52.3610725;6.955
4.945872;52.3410645;5.702
4.7964185;52.3821105;2.464
4.8696575;52.3640805;4.154
4.8763145;52.38213;3.682
4.875571;52.3709885;7.527
4.8371835;52.365372;2.297
4.8462705;52.3449745;4.897
4.7943685;52.363895;2.033
4.9476675;52.393833;4.616
4.9003575;52.369732;3.161
4.957612;52.318792;4.646
4.9523035;52.392452;4.193
4.9299895;52.370144;2.457
4.843052;52.3806115;6.227
4.8888495;52.3841305;3.848
4.95081;52.3928985;4.606
4.9401425;52.368107;2.365
4.93202;52.364464;4.041
4.843473;52.3509615;1.872
4.909337;52.3824365;3.38
4.8589075;52.324749;4.548
4.9157185;52.3850555;4.225
4.9032165;52.371315;3.8
4.9129905;52.389631;6.706
4.8926035;52.3809375;4.308
4.804838;52.382248;4.911
4.858909;52.3255135;4.839
4.9760825;52.2966215;3.176
4.866797;52.3422965;7.831
4.9142325;52.390274;6.566
4.8168095;52.38142;4.384
4.9128325;52.4016245;2.774
4.832352;52.3863185;2.863
4.9346725;52.354397;4.898
4.815411;52.3477325;3.331
4.9754315;52.2965085;3.54
4.95948;52.3956795;5.221
4.838459;52.365383;2.774
4.976002;52.2952305;3.845
4.9825055;52.2988625;4.615
4.910247;52.3866425;3.626
4.8372955;52.3616025;6.503
4.8497315;52.358494;4.118
4.9427045;52.3518775;3.597
4.838567;52.361616;6.036
4.8642175;52.3256475;6.438
4.884375;52.3897435;4.295
4.9415895;52.347315;3.674
4.945767;52.341734;5.473
4.901462;52.372961;3.192
4.7967855;52.3537235;3.259
4.84661;52.376148;4.047
4.815375;52.3489685;3.179
4.9177;52.4102765;3.187
4.8399245;52.3464775;7.213
4.832617;52.376154;5.53
4.8398445;52.3616315;6.046
4.987657;52.31098;5.982
4.8864125;52.334381;3.634
4.918744;52.3823565;3.947
4.8419675;52.3806765;6.377
4.885465;52.358299;7.379
